country_code,country_name,city,latitude,longitude,nb_users,percent
BF,Burkina Faso,,12.3702778,-1.5247222,47,0.0012195121951219512
DJ,Djibouti,,11.595,43.1480556,12,0.00031136481577581735
BI,Burundi,,-3.3761111,29.36,26,0.0006746237675142708
BJ,Benin,,6.35,2.4333333,171,0.004436948624805397
BW,Botswana,,-24.6463889,25.9119444,188,0.004878048780487805
DZ,Algeria,,36.7630556,3.0505556,1417,0.03676699532952776
GN,Guinea,,9.5091667,-13.7122222,97,0.002516865594187857
RW,Rwanda,,-1.9536111,30.0605556,347,0.009003632589517384
TZ,Tanzania,,-6.8,39.2833333,816,0.02117280747275558
GQ,Equatorial Guinea,,3.75,8.7833333,6,0.00015568240788790867
NA,Namibia,,-22.57,17.0836111,201,0.00521536066424494
NE,Niger,,13.6666667,1.7833333,31,0.0008043591074208614
NG,Nigeria,,6.453056,3.395833,5628,0.14603009859885832
TN,Tunisia,,36.806112,10.171078,2301,0.059704203425012974
LR,Liberia,,6.3105556,-10.8047222,96,0.002490918526206539
LS,Lesotho,,-29.3166667,27.4833333,51,0.0013233004670472237
CF,Central African Republic,,4.3666667,18.5833333,6,0.00015568240788790867
TG,Togo,,6.1372,1.2125,106,0.0027503892060197197
TD,Chad,,12.116667,15.05,21,0.0005448884276076804
ER,Eritrea,,15.333333,38.933333,13,0.0003373118837571354
LY,Lybia,,32.902222,13.185833,106,0.0027503892060197197
GW,Guinea-Bissau,,11.85,-15.5833333,4,0.00010378827192527245
ZM,Zambia,,-15.4166667,28.2833333,291,0.00755059678256357
CI,Côte d'Ivoire,,5.309657,-4.012656,271,0.007031655422937208
EH,Western Sahara,,27.153611,13.203333,15,0.0003892060197197717
CM,Cameroon,,4.0502778,9.7,688,0.01785158277114686
EG,Egypt,,30.05,31.25,5302,0.13757135443694862
SL,Sierra Leone,,8.49,-13.2341667,67,0.0017384535547483135
CG,Congo,,-4.2591667,15.2847222,82,0.002127659574468085
ZA,South Africa,,-33.925839,18.423218,5938,0.15407368967306695
AO,Angola,,-8.836804,13.233174,283,0.0073430202387130255
CD,Congo D.R.C,,-4.3,15.3,131,0.0033990659055526725
GA,Gabon,,0.3833333,9.45,49,0.0012714063310845874
ET,Ethiopia,,9.024325,38.749226,665,0.017254800207576543
GM,Gambia,,13.4530556,-16.5775,62,0.0016087182148417228
ZW,Zimbabwe,,-17.8177778,31.0447222,626,0.016242864556305137
CV,Cape Verde,,14.920833,-23.508333,67,0.0017384535547483135
GH,Ghana,,5.5,-0.2166667,1639,0.04252724442138038
SZ,Swaziland,,-26.4666667,31.2,45,0.001167618059159315
MG,Madagascar,,-18.9166667,47.5166667,341,0.008847950181629476
MA,Morocco,,33.592779,-7.619157,2730,0.07083549558899845
KE,Kenya,,-1.2833333,36.8166667,4476,0.11613907628437986
SS,South Sudan,,4.85,31.6,14,0.00036325895173845355
ML,Mali,,12.65,-8,71,0.0018422418266735858
KM,Comoros,,-11.7041667,43.2402778,6,0.00015568240788790867
ST,S\u00e3o Tom\u00e9 and Pr\u00edncipe,,0.336111,6.681389,3,7.784120394395434e-05
MU,Mauritius,,-20.1619444,57.4988889,473,0.012272963155163467
MW,Malawi,,-13.9833333,33.7833333,148,0.0038401660612350803
SO,Somalia,,2.0666667,45.3666667,103,0.0026725480020757656
SN,Senegal,,14.6708333,-17.4380556,408,0.01058640373637779
MR,Mauritania,,18.0863889,-15.9752778,41,0.0010638297872340426
SC,Seychelles,,-4.6167,55.45,28,0.0007265179034769071
UG,Uganda,,0.3155556,32.5655556,1255,0.03256357031655423
MZ,Mozambique,,-25.9652778,32.5891667,271,0.007031655422937208
SD,Sudan,,15.5880556,32.5341667,260,0.006746237675142709
CD,Congo D.R.C,Kinshasa,-4.3,15.3,69,0.0017903476907109497
TZ,Tanzania,Tanga,-5.0666667,39.1,4,0.00010378827192527245
MZ,Mozambique,Nampula,-15.1197222,39.2647222,1,2.5947067981318112e-05
UG,Uganda,Jinja,0.4244444,33.2041667,5,0.00012973533990659055
MG,Madagascar,Antsirabe,-19.85,47.0333333,6,0.00015568240788790867
LR,Liberia,Harper,4.375,-7.7169444,2,5.1894135962636225e-05
ZW,Zimbabwe,Kadoma,-18.35,29.9166667,1,2.5947067981318112e-05
ZM,Zambia,Ndola,-12.9666667,28.6333333,15,0.0003892060197197717
ZA,South Africa,Johannesburg,-26.205171,28.049815,2144,0.05563051375194603
NE,Niger,Zinder,13.8,8.9833333,2,5.1894135962636225e-05
AO,Angola,Cabinda,-5.55,12.2,2,5.1894135962636225e-05
NG,Nigeria,Abuja,9.083,7.533,621,0.016113129216398545
SN,Senegal,Ziguinchor,12.5833333,-16.2719444,5,0.00012973533990659055
GH,Ghana,Tamale,9.4,-0.8333333,14,0.00036325895173845355
SO,Somalia,Jawhar,2.7666667,45.5166667,1,2.5947067981318112e-05
KE,Kenya,Eldoret,0.5166667,35.2833333,71,0.0018422418266735858
ZM,Zambia,Livingstone,-17.85,25.8666667,3,7.784120394395434e-05
ZA,South Africa,Soweto,-26.267812,27.858492,24,0.0006227296315516347
GM,Gambia,Brikama,13.2675,-16.6461111,2,5.1894135962636225e-05
MZ,Mozambique,Tete,-16.1563889,33.5866667,8,0.0002075765438505449
ZA,South Africa,Pietermaritzburg,-29.616785,30.39278,18,0.000467047223663726
GQ,Equatorial Guinea,Malabo,3.75,8.7833333,2,5.1894135962636225e-05
NE,Niger,Niamey,13.6666667,1.7833333,12,0.00031136481577581735
SO,Somalia,Hargeysa,9.5833333,44.0666667,2,5.1894135962636225e-05
TZ,Tanzania,Salaam,-6.8,39.2833333,388,0.010067462376751428
SN,Senegal,Diourbel,14.6666667,-16.25,2,5.1894135962636225e-05
ZW,Zimbabwe,Masvingo,-20.0833333,30.8333333,3,7.784120394395434e-05
ZW,Zimbabwe,Gweru,-19.45,29.8166667,10,0.0002594706798131811
ET,Ethiopia,Addis Ababa,9.024325,38.749226,378,0.009807991696938245
TG,Togo,Lome,6.1372,1.2125,38,0.0009859885832900882
UG,Uganda,Kampala,0.3155556,32.5655556,843,0.021873378308251167
RW,Rwanda,Kigali,-1.9536111,30.0605556,250,0.006486766995329528
NG,Nigeria,Ogbomosho,8.133333,4.266667,2,5.1894135962636225e-05
ET,Ethiopia,Bahir,11.6,37.383333,4,0.00010378827192527245
MG,Madagascar,Antananarivo,-18.9166667,47.5166667,136,0.003528801245459263
MW,Malawi,Lilongwe,-13.9833333,33.7833333,48,0.0012454592631032694
CD,Congo D.R.C,Lubumbashi,-11.666667,27.466667,21,0.0005448884276076804
NG,Nigeria,Benin City,6.335045,5.627492,35,0.0009081473793461339
MG,Madagascar,Fianarantsoa,-21.4333333,47.0833333,4,0.00010378827192527245
ML,Mali,Bamako,12.65,-8,39,0.0010119356512714064
SO,Somalia,Mogadishu,2.0666667,45.3666667,34,0.0008822003113648157
MA,Morocco,Tétouan,35.571091,-5.372424,3,7.784120394395434e-05
CM,Cameroon,Yaoundé,3.8666667,11.5166667,75,0.0019460300985988583
MA,Morocco,Casablanca,33.592779,-7.619157,550,0.014270887389724962
SZ,Swaziland,Mbabane,-26.3166667,31.1333333,14,0.00036325895173845355
EG,Egypt,Alexandria,31.1980556,29.9191667,864,0.02241826673585885
ZW,Zimbabwe,Marondera,-18.1833333,31.55,1,2.5947067981318112e-05
LY,Lybia,Sabha,27.0333333,14.4333333,1,2.5947067981318112e-05
ML,Mali,Sikasso,11.3166667,-5.6666667,2,5.1894135962636225e-05
AO,Angola,Lubango,-14.916667,13.5,2,5.1894135962636225e-05
EG,Egypt,Cairo,30.05,31.25,2467,0.06401141670991178
LR,Liberia,Buchanan,5.8808333,-10.0466667,5,0.00012973533990659055
BF,Burkina Faso,Bobo Dioulasso,11.2,-4.3,3,7.784120394395434e-05
CI,Côte d'Ivoire,Abidjan,5.309657,-4.012656,259,0.006720290607161391
ZA,South Africa,Benoni,-26.190851,28.311338,9,0.000233523611831863
ML,Mali,Kati,12.7466667,-8.0713889,2,5.1894135962636225e-05
ZM,Zambia,Kabwe,-14.4333333,28.45,3,7.784120394395434e-05
GN,Guinea,Conakry,9.5091667,-13.7122222,24,0.0006227296315516347
NA,Namibia,Windhoek,-22.57,17.0836111,116,0.0030098598858329007
KM,Comoros,Moroni,-11.7041667,43.2402778,2,5.1894135962636225e-05
ZM,Zambia,Kitwe,-12.8166667,28.2,4,0.00010378827192527245
ZM,Zambia,Chingola,-12.5333333,27.85,2,5.1894135962636225e-05
BJ,Benin,Parakou,9.35,2.6166667,1,2.5947067981318112e-05
CM,Cameroon,Douala,4.0502778,9.7,158,0.004099636741048261
BI,Burundi,Gitega,-3.425,29.9333333,1,2.5947067981318112e-05
NA,Namibia,Okahandja,-21.9833333,16.9166667,1,2.5947067981318112e-05
DZ,Algeria,Adrar,27.9,-0.2833333,1,2.5947067981318112e-05
CF,Central African Republic,Bouar,5.95,15.6,1,2.5947067981318112e-05
MU,Mauritius,Goodlands,-20.035,57.6430556,1,2.5947067981318112e-05
ZW,Zimbabwe,Harare,-17.8177778,31.0447222,297,0.007706279190451479
BF,Burkina Faso,Ouagadougou,12.3702778,-1.5247222,11,0.0002854177477944992
LY,Lybia,Tripoli,32.8925,13.18,90,0.00233523611831863
KE,Kenya,Thika,-1.05,37.0833333,25,0.0006486766995329528
UG,Uganda,Mbale,1.0644444,34.1794444,6,0.00015568240788790867
GH,Ghana,Takoradi,4.8833333,-1.75,11,0.0002854177477944992
MA,Morocco,Nador,35.174041,-2.92866,5,0.00012973533990659055
SN,Senegal,Dakar,14.6708333,-17.4380556,289,0.007498702646600934
ET,Ethiopia,Awassa,7.05,38.466667,2,5.1894135962636225e-05
GW,Guinea-Bissau,Bissau,11.85,-15.5833333,4,0.00010378827192527245
MA,Morocco,Marrakesh,31.631485,-8.008281,31,0.0008043591074208614
ZA,South Africa,Elizabeth,-33.917988,25.570066,115,0.002983912817851583
CM,Cameroon,Bamenda,5.9333333,10.1666667,37,0.0009600415153087701
CM,Cameroon,Garoua,9.3,13.4,2,5.1894135962636225e-05
KE,Kenya,Kitale,1.0166667,35,12,0.00031136481577581735
NE,Niger,Tahoua,14.8902778,5.2677778,1,2.5947067981318112e-05
CV,Cape Verde,Praia,14.920833,-23.508333,37,0.0009600415153087701
CM,Cameroon,Bafoussam,5.4666667,10.4166667,9,0.000233523611831863
SN,Senegal,Thiès,14.8,-16.9333333,4,0.00010378827192527245
BW,Botswana,Mochudi,-24.4166667,26.15,2,5.1894135962636225e-05
MZ,Mozambique,Quelimane,-17.8786111,36.8883333,5,0.00012973533990659055
ZM,Zambia,Chipata,-13.6333333,32.65,2,5.1894135962636225e-05
MU,Mauritius,Curepipe,-20.3147222,57.5202778,1,2.5947067981318112e-05
CI,Côte d'Ivoire,Yamoussoukro,6.820548,-5.276741,7,0.00018162947586922677
GH,Ghana,Accra,5.55,-0.2166667,862,0.02236637259989621
ZM,Zambia,Mufulira,-12.55,28.2333333,1,2.5947067981318112e-05
LR,Liberia,Yekepa,7.5794444,-8.5377778,2,5.1894135962636225e-05
NG,Nigeria,Ibadan,7.387778,3.896389,152,0.003943954333160353
SD,Sudan,Malakal,9.5369444,31.6561111,1,2.5947067981318112e-05
SN,Senegal,Mbour,14.4,-16.9666667,2,5.1894135962636225e-05
TG,Togo,Lomé,6.1372,1.2125,42,0.0010897768552153608
CD,Congo D.R.C,Bukavu,-2.508333,28.860833,4,0.00010378827192527245
BW,Botswana,Francistown,-21.1666667,27.5166667,10,0.0002594706798131811
MA,Morocco,Rabat,34.013784,-6.844268,344,0.00892579138557343
ZA,South Africa,Cape Town,-33.925839,18.423218,696,0.018059159314997405
MA,Morocco,Kenitra,34.261008,-6.580203,22,0.0005708354955889984
LR,Liberia,Monrovia,6.3105556,-10.8047222,40,0.0010378827192527244
RW,Rwanda,Ruhengeri,-1.4833333,29.6166667,2,5.1894135962636225e-05
ET,Ethiopia,Gondar,12.6,37.466667,5,0.00012973533990659055
CD,Congo D.R.C,Kisangani,0.516667,25.2,1,2.5947067981318112e-05
AO,Angola,Lobito,-12.319722,13.599722,2,5.1894135962636225e-05
MZ,Mozambique,Matola,-25.9622222,32.4588889,2,5.1894135962636225e-05
BW,Botswana,Gaborone,-24.6463889,25.9119444,116,0.0030098598858329007
ZA,South Africa,Pretoria,-25.706944,28.229444,945,0.024519979242345617
BJ,Benin,Cotonou,6.35,2.4333333,89,0.002309289050337312
BW,Botswana,Maun,-19.9833333,23.4166667,4,0.00010378827192527245
ER,Eritrea,Edd,13.9297222,41.6925,1,2.5947067981318112e-05
NG,Nigeria,Kano,11.994354,8.513807,84,0.0021795537104307215
MZ,Mozambique,Maputo,-25.9652778,32.5891667,144,0.003736377789309808
SD,Sudan,Durman,15.6361111,32.4372222,5,0.00012973533990659055
SL,Sierra Leone,Freetown,8.49,-13.2341667,41,0.0010638297872340426
GH,Ghana,Sekondi,4.9333333,-1.7,1,2.5947067981318112e-05
CM,Cameroon,Yaounde,3.8666667,11.5166667,74,0.0019200830306175401
BI,Burundi,Bujumbura,-3.3761111,29.36,13,0.0003373118837571354
TZ,Tanzania,Mbeya,-8.9,33.45,5,0.00012973533990659055
GH,Ghana,Koforidua,6.0833333,-0.25,3,7.784120394395434e-05
ET,Ethiopia,Dawa,9.593056,41.866111,4,0.00010378827192527245
UG,Uganda,Kasese,0.23,29.9883333,1,2.5947067981318112e-05
TD,Chad,Pala,9.35,14.9666667,10,0.0002594706798131811
GA,Gabon,Libreville,0.3833333,9.45,33,0.0008562532433834977
LR,Liberia,Zwedru,6.0666667,-8.1280556,1,2.5947067981318112e-05
LS,Lesotho,Mafeteng,-29.8166667,27.25,1,2.5947067981318112e-05
CF,Central African Republic,Bangui,4.3666667,18.5833333,5,0.00012973533990659055
ZM,Zambia,Lusaka,-15.4166667,28.2833333,161,0.004177477944992216
MZ,Mozambique,Xai-Xai,-25.0519444,33.6441667,3,7.784120394395434e-05
EG,Egypt,Said,31.2666667,32.3,27,0.000700570835495589
BJ,Benin,Abomey,7.1833333,1.9833333,2,5.1894135962636225e-05
NG,Nigeria,Kaduna,10.522239,7.43828,73,0.0018941359626362222
GH,Ghana,Tema,5.6166667,-0.0166667,31,0.0008043591074208614
CG,Congo,Brazzaville,-4.2591667,15.2847222,32,0.0008303061754021796
LS,Lesotho,Maseru,-29.3166667,27.4833333,27,0.000700570835495589
NA,Namibia,Walvis,-22.9575,14.5052778,5,0.00012973533990659055
DJ,Djibouti,Adda,11.1333333,42.8858333,2,5.1894135962636225e-05
NG,Nigeria,Zaria,11.113236,7.725176,7,0.00018162947586922677
EG,Egypt,Asyut,27.1827778,31.1827778,7,0.00018162947586922677
MA,Morocco,Fez,34.037151,-4.999797,17,0.00044110015568240787
RW,Rwanda,Nyanza,-2.5833333,29.7166667,1,2.5947067981318112e-05
MG,Madagascar,Toamasina,-18.1666667,49.3833333,5,0.00012973533990659055
AO,Angola,Luanda,-8.836804,13.233174,182,0.004722366372599896
ZW,Zimbabwe,Kwekwe,-18.9166667,29.8166667,3,7.784120394395434e-05
ZA,South Africa,Durban,-29.857896,31.029198,499,0.012947586922677737
RW,Rwanda,Gisenyi,-1.7027778,29.2563889,1,2.5947067981318112e-05
GM,Gambia,Serekunda,13.4425,-16.6813889,1,2.5947067981318112e-05
SD,Sudan,Khartoum,15.5880556,32.5341667,114,0.0029579657498702647
CM,Cameroon,Maroua,10.5955556,14.3247222,7,0.00018162947586922677
ET,Ethiopia,Abeba,9.024325,38.749226,5,0.00012973533990659055
KE,Kenya,Mombasa,-4.05,39.6666667,150,0.0038920601971977166
ZW,Zimbabwe,Mutare,-18.9666667,32.6666667,6,0.00015568240788790867
EG,Egypt,Tanta,30.7911111,30.9980556,76,0.0019719771665801765
SZ,Swaziland,Malkerns,-26.5666667,31.1833333,1,2.5947067981318112e-05
DZ,Algeria,Algiers,36.7630556,3.0505556,1391,0.03609237156201349
KE,Kenya,Ruiru,-1.15,36.9666667,3,7.784120394395434e-05
NA,Namibia,Swakopmund,-22.6833333,14.5333333,3,7.784120394395434e-05
TD,Chad,Djamena,12.116667,15.05,3,7.784120394395434e-05
KE,Kenya,Malindi,-3.2166667,40.1166667,1,2.5947067981318112e-05
TN,Tunisia,Susah,35.825388,10.636991,4,0.00010378827192527245
UG,Uganda,Masaka,-0.3127778,31.7130556,3,7.784120394395434e-05
TN,Tunisia,Tunis,36.806112,10.171078,2296,0.059574468085106386
UG,Uganda,Entebbe,0.0644444,32.4469444,17,0.00044110015568240787
ET,Ethiopia,Nazret,8.55,39.266667,3,7.784120394395434e-05
CM,Cameroon,Bertoua,4.5833333,13.6833333,1,2.5947067981318112e-05
NG,Nigeria,Maiduguri,11.846441,13.160274,4,0.00010378827192527245
NG,Nigeria,Harcourt,4.777423,7.013404,198,0.005137519460300986
KE,Kenya,Nairobi,-1.2833333,36.8166667,3086,0.08007265179034768
TZ,Tanzania,Mwanza,-2.5166667,32.9,17,0.00044110015568240787
GA,Gabon,Oyem,1.6166667,11.5833333,1,2.5947067981318112e-05
RW,Rwanda,Butare,-2.5966667,29.7394444,4,0.00010378827192527245
GM,Gambia,Banjul,13.4530556,-16.5775,14,0.00036325895173845355
GQ,Equatorial Guinea,Bata,1.85,9.75,3,7.784120394395434e-05
AO,Angola,Malanje,-9.544722,16.345278,1,2.5947067981318112e-05
KE,Kenya,Nakuru,-0.2833333,36.0666667,79,0.0020498183705241306
EG,Egypt,Mahalla,30.9761111,31.1669444,13,0.0003373118837571354
MZ,Mozambique,Nacala,-14.5427778,40.6727778,1,2.5947067981318112e-05
MA,Morocco,Asfi,32.299392,-9.237181,1,2.5947067981318112e-05
SZ,Swaziland,Lobamba,-26.4666667,31.2,1,2.5947067981318112e-05
ER,Eritrea,Asmara,15.3333333,38.9333333,8,0.0002075765438505449
SN,Senegal,Thies,14.8,-16.9333333,4,0.00010378827192527245
UG,Uganda,Gulu,2.7666667,32.3055556,4,0.00010378827192527245
NG,Nigeria,Aba,5.106576,7.366667,42,0.0010897768552153608
BW,Botswana,Serowe,-22.3833333,26.7166667,1,2.5947067981318112e-05
ZA,South Africa,Vereeniging,-26.673133,27.926147,4,0.00010378827192527245
MZ,Mozambique,Chimoio,-19.1163889,33.4833333,2,5.1894135962636225e-05
ZA,South Africa,Tembisa,-25.996363,28.226802,5,0.00012973533990659055
DZ,Algeria,Médéa,36.2675,2.75,1,2.5947067981318112e-05
KE,Kenya,Garissa,-0.4569444,39.6583333,1,2.5947067981318112e-05
UG,Uganda,Lira,2.235,32.9097222,6,0.00015568240788790867
UG,Uganda,Mbarara,-0.6583333,30.6758333,31,0.0008043591074208614
GH,Ghana,Teshie,5.5833333,-0.1,1,2.5947067981318112e-05
MA,Morocco,Tangier,35.780576,-5.813646,71,0.0018422418266735858
LY,Lybia,Benghazi,32.1166667,20.0666667,15,0.0003892060197197717
SO,Somalia,Bosaso,11.2847222,49.1825,4,0.00010378827192527245
GA,Gabon,Gentil,-0.7166667,8.7833333,8,0.0002075765438505449
ZW,Zimbabwe,Bulawayo,-20.15,28.5833333,53,0.0013751946030098599
CM,Cameroon,Ngaoundéré,7.3166667,13.5833333,7,0.00018162947586922677
TG,Togo,Kara,9.5511111,1.1861111,4,0.00010378827192527245
TZ,Tanzania,Kigoma,-4.8769444,29.6266667,3,7.784120394395434e-05
TZ,Tanzania,Dodoma,-6.1833333,35.75,29,0.0007524649714582252
MW,Malawi,Kasungu,-13.0333333,33.4833333,1,2.5947067981318112e-05
MW,Malawi,Zomba,-15.3833333,35.3333333,5,0.00012973533990659055
EG,Egypt,Suez,29.9666667,32.55,14,0.00036325895173845355
GM,Gambia,Bakau,13.4780556,-16.6819444,3,7.784120394395434e-05
TZ,Tanzania,Morogoro,-6.8166667,37.6666667,8,0.0002075765438505449
SS,South Sudan,Juba,4.85,31.6,14,0.00036325895173845355
ZW,Zimbabwe,Chitungwiza,-17.9938889,31.0480556,1,2.5947067981318112e-05
AO,Angola,Huambo,-12.776111,15.739167,3,7.784120394395434e-05
DZ,Algeria,Constantine,36.365,6.6147222,24,0.0006227296315516347
TZ,Tanzania,Moshi,-3.35,37.3333333,6,0.00015568240788790867
EG,Egypt,Luxor,25.6833333,32.65,17,0.00044110015568240787
TN,Tunisia,Safaqis,34.740556,10.760278,1,2.5947067981318112e-05
KE,Kenya,Kisumu,-0.1,34.75,77,0.0019979242345614947
GH,Ghana,Kumasi,6.6833333,-1.6166667,72,0.001868188894654904
ET,Ethiopia,Jimma,7.666667,36.833333,8,0.0002075765438505449
TD,Chad,Moundou,8.5666667,16.0833333,1,2.5947067981318112e-05
BI,Burundi,Muyinga,-2.8494444,30.3361111,1,2.5947067981318112e-05
TZ,Tanzania,Arusha,-3.3666667,36.6833333,69,0.0017903476907109497
AO,Angola,Benguela,-12.578333,13.407222,4,0.00010378827192527245
MZ,Mozambique,Beira,-19.8436111,34.8388889,11,0.0002854177477944992
NG,Nigeria,Lagos,6.453056,3.395833,2801,0.07267773741567203
MR,Mauritania,Nouakchott,18.0863889,-15.9752778,22,0.0005708354955889984
MW,Malawi,Blantyre,-15.7833333,35,36,0.000934094447327452
CI,Côte d'Ivoire,Bouaké,7.693846,-5.030307,1,2.5947067981318112e-05
MA,Morocco,Agadir,30.420664,-9.593161,120,0.0031136481577581734
BW,Botswana,Kanye,-24.9833333,25.35,2,5.1894135962636225e-05
UG,Uganda,Mukono,0.3533333,32.7552778,3,7.784120394395434e-05
SN,Senegal,Tambacounda,13.7833333,-13.6666667,1,2.5947067981318112e-05
CI,Côte d'Ivoire,Bouake,7.693846,-5.030307,2,5.1894135962636225e-05
TZ,Tanzania,Zanzibar,-6.1666667,39.1833333,21,0.0005448884276076804
